"id","condition","stimulus","key","response","RT","correct"
"zl627","Memorized","<h1>tower</h1>","y","y",637,1
"zl627","Memorized","<h1>above</h1>","y","y",800,1
"zl627","Related_Unmemorized","<h1>high</h1>","n","y",1856,0
"zl627","Unrelated_Unmemorized","<h1>toe</h1>","n","n",1399,1
"zl627","Unrelated_Unmemorized","<h1>sit</h1>","n","n",754,1
"zl627","Unrelated_Unmemorized","<h1>calm</h1>","n","n",663,1
"zl627","Unrelated_Unmemorized","<h1>show</h1>","n","n",1062,1
"zl627","Unrelated_Unmemorized","<h1>climb</h1>","n","y",596,0
"zl627","Memorized","<h1>taste</h1>","y","y",722,1
"zl627","Memorized","<h1>cake</h1>","y","y",684,1
"zl627","Memorized","<h1>honey</h1>","y","y",745,1
"zl627","Unrelated_Unmemorized","<h1>smooth</h1>","n","n",897,1
"zl627","Memorized","<h1>chocolate</h1>","y","y",1078,1
"zl627","Unrelated_Unmemorized","<h1>pin</h1>","n","n",2177,1
"zl627","Related_Unmemorized","<h1>sweet</h1>","n","n",950,1
"zl627","Memorized","<h1>sugar</h1>","y","y",1064,1
"zl627","Unrelated_Unmemorized","<h1>bumpy</h1>","n","n",936,1
"zl627","Unrelated_Unmemorized","<h1>cat</h1>","n","n",529,1
"zl627","Memorized","<h1>shutter</h1>","y","y",886,1
"zl627","Memorized","<h1>glass</h1>","y","y",844,1
"zl627","Memorized","<h1>door</h1>","y","y",703,1
"zl627","Unrelated_Unmemorized","<h1>boy</h1>","n","n",752,1
"zl627","Memorized","<h1>house</h1>","y","y",577,1
"zl627","Unrelated_Unmemorized","<h1>snow</h1>","n","n",833,1
"zl627","Related_Unmemorized","<h1>window</h1>","n","n",692,1
"zl627","Unrelated_Unmemorized","<h1>piano</h1>","n","n",775,1
"zl627","Memorized","<h1>screen</h1>","y","n",686,0
"zl627","Unrelated_Unmemorized","<h1>fast</h1>","n","y",835,0
"zl627","Unrelated_Unmemorized","<h1>crown</h1>","n","n",1560,1
"zl627","Related_Unmemorized","<h1>river</h1>","n","y",729,0
"zl627","Memorized","<h1>swim</h1>","y","y",624,1
"zl627","Memorized","<h1>Mississippi</h1>","y","y",660,1
"zl627","Unrelated_Unmemorized","<h1>sound</h1>","n","y",656,0
"zl627","Unrelated_Unmemorized","<h1>robber</h1>","n","n",718,1
"zl627","Memorized","<h1>brook</h1>","y","y",705,1
"zl627","Unrelated_Unmemorized","<h1>hot</h1>","n","n",791,1
"zl627","Memorized","<h1>flow</h1>","y","n",805,0
"zl627","Unrelated_Unmemorized","<h1>fear</h1>","n","n",719,1
"zl627","Unrelated_Unmemorized","<h1>thread</h1>","n","n",1438,1
"zl627","Memorized","<h1>barge</h1>","y","n",638,0
"zl627","Unrelated_Unmemorized","<h1>legs</h1>","n","n",884,1
"zl627","Unrelated_Unmemorized","<h1>queen</h1>","n","n",471,1
"zl627","Memorized","<h1>jam</h1>","y","y",737,1
"zl627","Unrelated_Unmemorized","<h1>hand</h1>","n","n",735,1
"zl627","Memorized","<h1>toast</h1>","y","y",658,1
"zl627","Memorized","<h1>food</h1>","y","y",678,1
"zl627","Unrelated_Unmemorized","<h1>mad</h1>","n","n",601,1
"zl627","Related_Unmemorized","<h1>bread</h1>","n","y",536,0
"zl627","Memorized","<h1>flour</h1>","y","y",637,1
"zl627","Memorized","<h1>butter</h1>","y","y",598,1
"zl627","Unrelated_Unmemorized","<h1>lethargic</h1>","n","n",565,1
"zl627","Unrelated_Unmemorized","<h1>hard</h1>","n","n",1237,1
"wz343","Memorized","<h1>Mississippi</h1>","y","y",1808,1
"wz343","Related_Unmemorized","<h1>river</h1>","n","n",3100,1
"wz343","Unrelated_Unmemorized","<h1>fear</h1>","n","n",922,1
"wz343","Memorized","<h1>brook</h1>","y","y",1047,1
"wz343","Unrelated_Unmemorized","<h1>thread</h1>","n","n",1052,1
"wz343","Unrelated_Unmemorized","<h1>hot</h1>","n","n",912,1
"wz343","Unrelated_Unmemorized","<h1>robber</h1>","n","n",1006,1
"wz343","Unrelated_Unmemorized","<h1>crown</h1>","n","n",741,1
"wz343","Memorized","<h1>flow</h1>","y","y",863,1
"wz343","Unrelated_Unmemorized","<h1>sound</h1>","n","n",900,1
"wz343","Memorized","<h1>swim</h1>","y","y",862,1
"wz343","Memorized","<h1>barge</h1>","y","y",735,1
"wz343","Memorized","<h1>clouds</h1>","y","y",979,1
"wz343","Memorized","<h1>up</h1>","y","y",580,1
"wz343","Unrelated_Unmemorized","<h1>insect</h1>","n","n",1440,1
"wz343","Related_Unmemorized","<h1>high</h1>","n","n",1331,1
"wz343","Memorized","<h1>low</h1>","y","y",1084,1
"wz343","Memorized","<h1>above</h1>","y","n",1524,0
"wz343","Memorized","<h1>tower</h1>","y","y",894,1
"wz343","Unrelated_Unmemorized","<h1>note</h1>","n","n",684,1
"wz343","Unrelated_Unmemorized","<h1>steal</h1>","n","n",718,1
"wz343","Unrelated_Unmemorized","<h1>valley</h1>","n","n",666,1
"wz343","Unrelated_Unmemorized","<h1>toe</h1>","n","n",675,1
"wz343","Unrelated_Unmemorized","<h1>table</h1>","n","n",684,1
"wz343","Unrelated_Unmemorized","<h1>smooth</h1>","n","n",981,1
"wz343","Memorized","<h1>sugar</h1>","y","y",849,1
"wz343","Memorized","<h1>cake</h1>","y","y",610,1
"wz343","Memorized","<h1>taste</h1>","y","y",692,1
"wz343","Unrelated_Unmemorized","<h1>calm</h1>","n","n",647,1
"wz343","Unrelated_Unmemorized","<h1>sit</h1>","n","n",747,1
"wz343","Memorized","<h1>chocolate</h1>","y","y",736,1
"wz343","Unrelated_Unmemorized","<h1>pin</h1>","n","n",637,1
"wz343","Related_Unmemorized","<h1>sweet</h1>","n","n",1041,1
"wz343","Unrelated_Unmemorized","<h1>climb</h1>","n","n",694,1
"wz343","Memorized","<h1>honey</h1>","y","y",721,1
"wz343","Unrelated_Unmemorized","<h1>show</h1>","n","n",2247,1
"wz343","Memorized","<h1>glass</h1>","y","y",1565,1
"wz343","Memorized","<h1>screen</h1>","y","y",681,1
"wz343","Unrelated_Unmemorized","<h1>boy</h1>","n","n",589,1
"wz343","Memorized","<h1>door</h1>","y","y",728,1
"wz343","Unrelated_Unmemorized","<h1>piano</h1>","n","n",777,1
"wz343","Unrelated_Unmemorized","<h1>fast</h1>","n","n",944,1
